pathwayName,searchTerms,genes,library,diseaseId,name,therapeuticAreas
Glucose intolerance (HP:0000833),glucose intolerance,CAV1,Human_Phenotype_Ontology,HP_0001952,Glucose intolerance,['EFO_0000651']
Glucose intolerance (HP:0000833),glucose intolerance,ATM,Human_Phenotype_Ontology,HP_0001952,Glucose intolerance,['EFO_0000651']
Glucose intolerance (HP:0000833),glucose intolerance,POLG2,Human_Phenotype_Ontology,HP_0001952,Glucose intolerance,['EFO_0000651']
Glucose intolerance (HP:0000833),glucose intolerance,HNF1B,Human_Phenotype_Ontology,HP_0001952,Glucose intolerance,['EFO_0000651']
Glucose intolerance (HP:0000833),glucose intolerance,ZMPSTE24,Human_Phenotype_Ontology,HP_0001952,Glucose intolerance,['EFO_0000651']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,ENDOG,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,HTT,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,PDPK1,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,SLC1A2,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,SLC1A3,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,TNF,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,TNFRSF1A,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,GRM1,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,ITPR1,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,NFKBIA,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,CASP9,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,GRM5,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,AIFM1,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,GNAQ,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,AKT1,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,CASP3,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,CYCS,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,GRB2,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,MCU,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,OPTN,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glutamate Mediated Excitotoxicity in Glaucoma,glaucoma,SOS1,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Glycogen Metabolic Process (GO:0005977),glycogen metabol,GSK3B,GO_Biological_Process_2025,MONDO_0002412,disorder of glycogen metabolism,"['OTAR_0000018', 'OTAR_0000020']"
Glycogen Metabolic Process (GO:0005977),glycogen metabol,PYGB,GO_Biological_Process_2025,MONDO_0002412,disorder of glycogen metabolism,"['OTAR_0000018', 'OTAR_0000020']"
Glycogen Metabolic Process (GO:0005977),glycogen metabol,GAA,GO_Biological_Process_2025,MONDO_0002412,disorder of glycogen metabolism,"['OTAR_0000018', 'OTAR_0000020']"
Glycogen Metabolic Process (GO:0005977),glycogen metabol,GBE1,GO_Biological_Process_2025,MONDO_0002412,disorder of glycogen metabolism,"['OTAR_0000018', 'OTAR_0000020']"
Glycogen Metabolic Process (GO:0005977),glycogen metabol,NR1D1,GO_Biological_Process_2025,MONDO_0002412,disorder of glycogen metabolism,"['OTAR_0000018', 'OTAR_0000020']"
Glycogen Metabolic Process (GO:0005977),glycogen metabol,PRKAG2,GO_Biological_Process_2025,MONDO_0002412,disorder of glycogen metabolism,"['OTAR_0000018', 'OTAR_0000020']"
Glycogen Metabolic Process (GO:0005977),glycogen metabol,PYGL,GO_Biological_Process_2025,MONDO_0002412,disorder of glycogen metabolism,"['OTAR_0000018', 'OTAR_0000020']"
Glycogen Metabolic Process (GO:0005977),glycogen metabol,PYGM,GO_Biological_Process_2025,MONDO_0002412,disorder of glycogen metabolism,"['OTAR_0000018', 'OTAR_0000020']"
Glycogen Metabolic Process (GO:0005977),glycogen metabol,G6PC1,GO_Biological_Process_2025,MONDO_0002412,disorder of glycogen metabolism,"['OTAR_0000018', 'OTAR_0000020']"
Glycogen Metabolic Process (GO:0005977),glycogen metabol,GYS1,GO_Biological_Process_2025,MONDO_0002412,disorder of glycogen metabolism,"['OTAR_0000018', 'OTAR_0000020']"
Glycogen Metabolic Process (GO:0005977),glycogen metabol,GYS2,GO_Biological_Process_2025,MONDO_0002412,disorder of glycogen metabolism,"['OTAR_0000018', 'OTAR_0000020']"
Glycogen Metabolic Process (GO:0005977),glycogen metabol,PER2,GO_Biological_Process_2025,MONDO_0002412,disorder of glycogen metabolism,"['OTAR_0000018', 'OTAR_0000020']"
Glycogen Metabolic Process (GO:0005977),glycogen metabol,PHKG2,GO_Biological_Process_2025,MONDO_0002412,disorder of glycogen metabolism,"['OTAR_0000018', 'OTAR_0000020']"
